iter	RMSE
0	438.1974206
1	432.4168868
2	426.383669
3	420.2261014
4	414.9976675
5	409.6125323
6	403.9277911
7	398.4395285
8	392.4517081
9	387.4871123
10	382.623051
11	378.1012454
12	372.6002306
13	368.4682192
14	364.0565766
15	359.5683249
16	355.1782794
17	350.4689946
18	346.2553348
19	341.7051884
20	337.8343606
21	333.7956702
22	329.886793
23	326.1844372
24	323.131558
25	319.3322885
26	316.2039164
27	313.2598806
28	310.1086898
29	307.0508553
30	304.5843401
31	301.6708432
32	298.9175443
33	296.1231309
34	293.2359275
35	290.399985
36	287.8958674
37	285.6692571
38	282.9812904
39	280.6302291
40	278.2767119
41	276.0589541
42	273.6619286
43	271.1128163
44	268.9091716
45	266.3675542
46	263.7815611
47	261.8160223
48	259.7109561
49	257.7200276
50	255.7835524
51	253.8406902
52	251.6896611
53	250.0830915
54	248.3689069
55	246.2718937
56	244.3923224
57	242.3040669
58	240.5357981
59	238.7009594
60	237.2676945
61	235.7252656
62	234.1007596
63	232.4179971
64	231.1643497
65	229.6810852
66	228.1714231
67	226.9338286
68	226.0780127
69	224.6598569
70	223.1110463
71	221.6545694
72	220.2670639
73	218.9738032
74	217.9247112
75	216.920249
76	215.5989131
77	214.3540917
78	213.4575339
79	212.1036261
80	210.8030392
81	209.529046
82	208.0255508
83	206.912427
84	205.5903017
85	204.6057051
86	203.7128429
87	202.7663836
88	201.9026542
89	200.772952
90	199.6909954
91	198.634143
92	197.6117675
93	196.5198483
94	195.544394
95	194.420397
96	193.2677508
97	192.1768427
98	191.2356955
99	189.9934546
100	189.2719006
101	188.1079321
102	187.1211517
103	185.9059118
104	185.2620919
105	184.4349037
106	183.1846237
107	182.1448077
108	181.478717
109	180.6789032
110	179.9122461
111	178.9952892
112	178.6013107
113	177.7090692
114	176.7404828
115	176.0415402
116	175.5315148
117	174.8976738
118	174.053087
119	173.0700181
120	172.2832739
121	171.496022
122	171.0402978
123	170.7119169
124	169.6907823
125	169.20637
126	168.1597529
127	167.3156403
128	166.3187281
129	166.1101656
130	165.5420012
131	164.6237022
132	163.7646814
133	163.3971858
134	162.8775666
135	162.359119
136	161.851515
137	161.2542226
138	160.5899334
139	159.6307999
140	159.0055431
141	158.2566894
142	157.6496356
143	157.1590393
144	156.5730455
145	155.8450985
146	155.243921
147	154.9417796
148	154.3763613
149	153.9438757
150	153.1854046
151	152.8631442
152	152.3115428
153	151.8957029
154	151.1871329
155	150.6828564
156	150.2509622
157	149.6497659
158	148.9332067
159	148.7156418
160	148.2737189
161	147.9625721
162	147.4564915
163	146.8606991
164	146.2386459
165	145.7642228
166	145.3792204
167	145.0935465
168	144.6976165
169	143.9724403
170	143.6449839
171	143.199918
172	142.9381183
173	142.3304601
174	141.9229624
175	141.4043903
176	141.0209642
177	140.4510865
178	140.3441522
179	139.8478562
180	139.7464932
181	139.2514614
182	139.027454
183	138.4584181
184	138.2093063
185	137.840625
186	137.7280816
187	137.2465993
188	136.7894765
189	136.4857311
190	136.0043713
191	135.7523177
192	135.3372675
193	135.0202084
194	134.7757422
195	134.3546545
196	133.9623627
197	133.2648869
198	132.9318972
199	132.5119098
200	131.8954412
201	131.6115557
202	131.2095441
203	130.6658729
204	130.3457517
205	130.0833818
206	129.7238048
207	129.0671906
208	128.7683402
209	128.5832593
210	128.3749444
211	128.1143221
212	127.9897497
213	127.6815659
214	127.2006697
215	127.0352179
216	126.9617234
217	126.7776328
218	126.3802524
219	126.1995377
220	126.1155383
221	125.9832799
222	125.749577
223	125.2409845
224	124.9538099
225	124.7089151
226	124.3984858
227	124.0014588
228	123.7139174
229	123.6555034
230	123.3398368
231	122.756115
232	122.5676806
233	122.175904
234	121.5761316
235	121.3308579
236	120.6316918
237	120.0241441
238	119.6974692
239	119.5295579
240	118.8105516
241	118.5001438
242	118.1525333
243	117.8294708
244	117.4650856
245	117.2329146
246	116.628115
247	116.4382173
248	115.7804838
249	115.4468389
250	115.2535858
251	115.0959725
252	114.5054098
253	114.2196805
254	113.9389493
255	113.8318782
256	113.7010766
257	113.5349213
258	113.2939692
259	112.8734855
260	112.2073904
261	111.7098455
262	111.4861643
263	111.4065123
264	110.9193214
265	110.2486713
266	110.1718829
267	109.8233102
268	109.2576068
269	109.1038965
270	108.5183523
271	108.4470954
272	108.0259628
273	107.5793316
274	107.4747562
275	107.401508
276	106.7954512
277	106.3607188
278	106.2892222
279	106.1701389
280	106.0889424
281	105.890361
282	105.6531794
283	105.3489666
284	105.2156952
285	104.748985
286	104.4701409
287	104.3778769
288	103.8224679
289	103.2728523
290	102.7341369
291	102.5732242
292	102.4869595
293	101.9743362
294	101.8782948
295	101.3571512
296	100.8372462
297	100.6707783
298	100.321594
299	99.81624596
300	99.7024172
301	99.23088321
302	98.79810826
303	98.64183625
304	98.12485635
305	97.94425814
306	97.50912971
307	97.03816947
308	96.58589037
309	96.44661236
310	95.9786304
311	95.53905008
312	95.32413231
313	95.11668394
314	94.67290215
315	94.25716784
316	93.94147865
317	93.78041586
318	93.54133061
319	93.42801066
320	92.99863015
321	92.94216104
322	92.46626917
323	92.04554847
324	91.66646667
325	91.56007172
326	91.50049743
327	91.0716355
328	90.63767768
329	90.21323407
330	90.15258007
331	89.78795006
332	89.36262181
333	89.12745256
334	88.72220113
335	88.5311901
336	88.06999833
337	87.67370367
338	87.3069085
339	86.86397003
340	86.73395324
341	86.56773331
342	86.43617518
343	86.24694581
344	86.19673057
345	86.07098629
346	85.6398833
347	85.59792633
348	85.44372614
349	85.06697519
350	85.01641162
351	84.63500707
352	84.14732449
353	83.81153906
354	83.48236203
355	83.15954063
356	82.72807448
357	82.62100863
358	82.30771939
359	81.91120728
360	81.55181925
361	81.42670334
362	81.02559821
363	80.68911747
364	80.43907108
365	80.12323186
366	80.08087555
367	79.70904238
368	79.39691524
369	79.07312585
370	78.98629335
371	78.77304758
372	78.63021579
373	78.51841111
374	78.38149547
375	77.96222612
376	77.8601787
377	77.76508978
378	77.39459273
379	77.33482369
380	77.24318557
381	76.91928909
382	76.79495444
383	76.52175304
384	76.16485117
385	75.98676556
386	75.7293435
387	75.64198048
388	75.31382215
389	75.01257363
390	74.98037249
391	74.61139704
392	74.36687655
393	74.27521466
394	74.21724122
395	73.86521097
396	73.69636452
397	73.40750855
398	73.03467715
399	72.99715865
400	72.67554925
401	72.59722818
402	72.43459741
403	72.21857164
404	71.92510318
405	71.8901544
406	71.53384218
407	71.44778275
408	71.41275502
409	71.33224538
410	71.29818037
411	71.00891729
412	70.78544927
413	70.49301026
414	70.19765782
415	69.95655524
416	69.89121033
417	69.73567058
418	69.66344122
419	69.29436088
420	69.0269983
421	68.86535606
422	68.65552811
423	68.23382943
424	68.09098979
425	67.79057216
426	67.5586853
427	67.35188394
428	67.20297937
429	66.94678923
430	66.78218907
431	66.49557409
432	66.22403591
433	65.98321357
434	65.7761577
435	65.48450254
436	65.42159372
437	65.17681968
438	65.1071642
439	65.07058574
440	64.77828641
441	64.52849441
442	64.3504433
443	64.30011122
444	63.90637582
