iter	Passed	Remaining
0	2	2344
1	4	2265
2	7	2503
3	8	2237
4	10	2134
5	12	2016
6	13	1974
7	15	1899
8	16	1849
9	19	1914
10	20	1871
11	22	1844
12	23	1813
13	25	1830
14	27	1817
15	29	1807
16	32	1867
17	34	1860
18	35	1841
19	37	1817
20	38	1789
21	39	1769
22	43	1844
23	47	1947
24	49	1941
25	51	1918
26	52	1891
27	53	1869
28	55	1849
29	58	1878
30	59	1862
31	61	1848
32	62	1837
33	64	1820
34	65	1809
35	67	1796
36	68	1792
37	71	1808
38	73	1799
39	74	1785
40	75	1772
41	77	1766
42	78	1758
43	80	1749
44	82	1753
45	84	1752
46	86	1745
47	87	1737
48	88	1726
49	90	1721
50	91	1711
51	93	1713
52	95	1714
53	97	1710
54	99	1703
55	100	1697
56	102	1688
57	103	1680
58	104	1671
59	106	1667
60	108	1672
61	110	1666
62	111	1657
63	112	1650
64	114	1644
65	116	1643
66	117	1636
67	119	1632
68	121	1636
69	122	1630
70	124	1625
71	125	1623
72	127	1619
73	129	1616
74	130	1613
75	132	1612
76	134	1614
77	136	1610
78	138	1609
79	139	1605
80	141	1602
81	142	1599
82	144	1596
83	146	1598
84	148	1597
85	149	1593
86	151	1588
87	152	1584
88	154	1579
89	155	1575
90	157	1570
91	159	1572
92	161	1575
93	163	1572
94	164	1567
95	165	1562
96	167	1558
97	169	1556
98	170	1553
99	172	1555
100	174	1551
101	175	1547
102	177	1542
103	178	1537
104	180	1537
105	182	1536
106	183	1535
107	186	1539
108	188	1538
109	189	1535
110	191	1532
111	192	1529
112	194	1526
113	196	1523
114	199	1531
115	200	1528
116	202	1524
117	203	1521
118	204	1517
119	206	1513
120	207	1509
121	209	1510
122	212	1515
123	214	1513
124	215	1509
125	217	1506
126	218	1503
127	220	1499
128	221	1496
129	223	1495
130	226	1500
131	227	1497
132	229	1493
133	230	1490
134	232	1488
135	233	1485
136	235	1483
137	237	1483
138	238	1480
139	240	1478
140	242	1475
141	243	1471
142	245	1470
143	247	1468
144	248	1467
145	250	1466
146	252	1464
147	253	1461
148	255	1458
149	257	1457
150	258	1453
151	260	1451
152	262	1454
153	264	1455
154	266	1451
155	267	1449
156	269	1447
157	271	1445
158	272	1442
159	274	1439
160	276	1439
161	278	1440
162	280	1437
163	282	1437
164	283	1436
165	285	1436
166	287	1434
167	290	1437
168	292	1436
169	293	1434
170	295	1431
171	296	1428
172	298	1425
173	299	1423
174	301	1422
175	303	1421
176	305	1420
177	306	1417
178	307	1411
179	308	1407
180	309	1400
181	311	1397
182	312	1395
183	314	1394
184	316	1393
185	318	1394
186	320	1392
187	321	1389
188	323	1388
189	325	1385
190	327	1385
191	329	1384
192	330	1382
193	332	1380
194	333	1376
195	335	1374
196	337	1373
