iter	Logloss
0	0.6656605212
1	0.6415473367
2	0.6206453271
3	0.6044556653
4	0.5844342596
5	0.5718085453
6	0.5575728176
7	0.5469430331
8	0.5362873815
9	0.5270080083
10	0.5157169089
11	0.5081410485
12	0.4986441613
13	0.4903710082
14	0.4835516393
15	0.4769758358
16	0.4693026047
17	0.4637744426
18	0.4593825979
19	0.4551218371
20	0.4506551814
21	0.4460843373
22	0.4412129821
23	0.4379697021
24	0.4346863309
25	0.4311860477
26	0.4284438951
27	0.4255524169
28	0.4219453031
29	0.4182174187
30	0.4137159008
31	0.4106990969
32	0.4071875334
33	0.4048561022
34	0.4014964649
35	0.3982406251
36	0.3959836325
37	0.393842946
38	0.3915728581
39	0.3904143549
40	0.3879878818
41	0.3854698903
42	0.3835300413
43	0.3824353064
44	0.3805007057
45	0.3783900389
46	0.3766073327
47	0.3743356939
48	0.3721690074
49	0.3710933334
50	0.3696405701
51	0.3682071579
52	0.3667748958
53	0.3652019223
54	0.363293541
55	0.3613512725
56	0.3598885789
57	0.3589076389
58	0.3576593609
59	0.3561880511
60	0.3557279744
61	0.3547595926
62	0.3523930234
63	0.3511869642
64	0.3491375008
65	0.3475211173
66	0.3460377637
67	0.3448462461
68	0.3436146814
69	0.3419145364
70	0.3400487061
71	0.3385240736
72	0.3374442668
73	0.3369722927
74	0.3350450608
75	0.333767439
76	0.3330342692
77	0.3323302504
78	0.3310696496
79	0.3300229411
80	0.3289624972
81	0.3287156617
82	0.3280460923
83	0.3272345842
84	0.3269215309
85	0.3260045959
86	0.3250912724
87	0.3231635418
88	0.322242918
89	0.3208350774
90	0.3201627546
91	0.3197069665
92	0.3191109853
93	0.3182643287
94	0.3169863021
95	0.3160102434
96	0.3152589093
97	0.313847815
98	0.3133004704
99	0.3115573109
